group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
answer_address_inactive_control,alias,101241,8192,8192,0.1,184514,3,-1.8434791564941406,-1.8589242299397786,-0.015445073445637947
non_address_inactive_control,alias,101241,8192,8192,0.1,184514,16,-1.8434791564941406,-1.840131123860677,0.0033480326334636157
strong13_inactive_control,alias,101241,8192,8192,0.1,184514,13,-1.8434791564941406,-1.8025277455647786,0.04095141092936205
core19_inactive_control,alias,101241,8192,8192,0.1,184514,19,-1.8434791564941406,-1.8499759038289387,-0.006496747334798103
first_token_sink_inactive_control,alias,101241,8192,8192,0.1,184514,6,-1.8434791564941406,-1.817574183146159,0.025904973347981697
query_tail_inactive_control,alias,101241,8192,8192,0.1,184514,9,-1.8434791564941406,-1.8293902079264324,0.01408894856770826
answer_address,paraphrase,201234,8192,8192,0.1,193786,3,-2.250237226486206,-2.260772426923116,-0.010535200436910142
non_address_core,paraphrase,201234,8192,8192,0.1,193786,16,-2.250237226486206,-3.3126627604166665,-1.0624255339304605
strong13,paraphrase,201234,8192,8192,0.1,193786,13,-2.250237226486206,-3.1252489487330117,-0.8750117222468057
core19,paraphrase,201234,8192,8192,0.1,193786,19,-2.250237226486206,-3.3543677727381387,-1.1041305462519326
first_token_sink,paraphrase,201234,8192,8192,0.1,193786,6,-2.250237226486206,-2.5835456450780234,-0.33330841859181737
query_tail,paraphrase,201234,8192,8192,0.1,193786,9,-2.250237226486206,-3.083571473757426,-0.8333342472712197
answer_address_inactive_control,paraphrase,201234,8192,8192,0.1,193786,3,-2.250237226486206,-2.2189692656199136,0.031267960866292466
non_address_inactive_control,paraphrase,201234,8192,8192,0.1,193786,16,-2.250237226486206,-2.0731821854909263,0.1770550409952798
strong13_inactive_control,paraphrase,201234,8192,8192,0.1,193786,13,-2.250237226486206,-2.0835772355397544,0.16665999094645167
core19_inactive_control,paraphrase,201234,8192,8192,0.1,193786,19,-2.250237226486206,-2.0835972229639688,0.1666400035222373
first_token_sink_inactive_control,paraphrase,201234,8192,8192,0.1,193786,6,-2.250237226486206,-2.15649151802063,0.09374570846557617
query_tail_inactive_control,paraphrase,201234,8192,8192,0.1,193786,9,-2.250237226486206,-2.166882554690043,0.08335467179616307
answer_address,paraphrase,201235,8192,8192,0.1,207278,3,-2.3249409993489585,-2.4620153109232583,-0.13707431157429983
non_address_core,paraphrase,201235,8192,8192,0.1,207278,16,-2.3249409993489585,-3.732306440671285,-1.4073654413223267
strong13,paraphrase,201235,8192,8192,0.1,207278,13,-2.3249409993489585,-3.4407127698262534,-1.115771770477295
core19,paraphrase,201235,8192,8192,0.1,207278,19,-2.3249409993489585,-3.690298835436503,-1.3653578360875445
first_token_sink,paraphrase,201235,8192,8192,0.1,207278,6,-2.3249409993489585,-2.8765838146209717,-0.5516428152720132
query_tail,paraphrase,201235,8192,8192,0.1,207278,9,-2.3249409993489585,-3.441542903582255,-1.1166019042332964
answer_address_inactive_control,paraphrase,201235,8192,8192,0.1,207278,3,-2.3249409993489585,-2.335350275039673,-0.01040927569071437
